Timestamp (s),CPU (%),RAM (%),Swap (%)
1730325227.223,100.0,46.2,0.0
1730325257.233,100.0,46.0,0.0
1730325287.236,100.0,46.0,0.0
1730325317.235,100.0,46.0,0.0
1730325347.234,100.0,46.0,0.0
1730325377.238,100.0,46.0,0.0
1730325407.237,100.0,46.0,0.0
1730325437.239,100.0,46.0,0.0
1730325467.238,100.0,46.0,0.0
1730325497.241,100.0,46.0,0.0
1730325527.243,100.0,46.0,0.0
1730325557.246,100.0,46.0,0.0
1730325587.248,100.0,46.0,0.0
1730325617.249,100.0,46.0,0.0
1730325647.248,100.0,45.9,0.0
1730325677.251,100.0,45.9,0.0
1730325707.253,100.0,45.9,0.0
1730325737.255,100.0,45.9,0.0
1730325767.258,100.0,45.9,0.0
1730325797.261,100.0,45.9,0.0
1730325827.260,100.0,45.9,0.0
1730325857.259,100.0,45.9,0.0
1730325887.261,100.0,45.9,0.0
1730325917.260,100.0,45.9,0.0
1730325947.259,100.0,45.9,0.0
1730325977.258,100.0,45.9,0.0
1730326007.257,100.0,45.9,0.0
1730326037.256,100.0,45.9,0.0
1730326067.255,100.0,45.9,0.0
1730326097.254,100.0,45.9,0.0
1730326127.255,100.0,45.9,0.0
1730326157.257,100.0,45.9,0.0
1730326187.256,100.0,45.9,0.0
1730326217.258,100.0,45.9,0.0
1730326247.257,100.0,45.9,0.0
1730326277.256,100.0,45.9,0.0
1730326307.258,100.0,45.9,0.0
1730326337.257,100.0,45.9,0.0
1730326367.260,100.0,45.9,0.0
1730326397.259,100.0,45.9,0.0
1730326427.258,100.0,45.9,0.0
1730326457.261,100.0,45.9,0.0
1730326487.260,100.0,45.9,0.0
1730326517.259,100.0,45.9,0.0
1730326547.262,100.0,45.9,0.0
1730326577.261,100.0,45.9,0.0
1730326607.266,100.0,45.9,0.0
1730326637.265,100.0,45.9,0.0
1730326667.264,100.0,45.9,0.0
1730326697.265,100.0,45.9,0.0
1730326727.267,100.0,45.9,0.0
1730326757.270,100.0,45.9,0.0
1730326787.272,100.0,45.9,0.0
