Timestamp (s),CPU (%),RAM (%),Swap (%)
1730374073.425,100.0,45.7,0.0
1730374103.438,100.0,45.6,0.0
1730374133.452,100.0,45.6,0.0
1730374163.455,100.0,45.6,0.0
1730374193.461,100.0,45.6,0.0
1730374223.467,100.0,45.6,0.0
1730374253.472,100.0,45.6,0.0
1730374283.478,100.0,45.6,0.0
1730374313.480,100.0,45.6,0.0
1730374343.487,100.0,45.6,0.0
1730374373.497,100.0,45.6,0.0
1730374403.499,100.0,45.6,0.0
1730374433.501,100.0,45.6,0.0
1730374463.508,100.0,45.6,0.0
1730374493.511,100.0,45.6,0.0
1730374523.521,100.0,45.6,0.0
1730374553.526,100.0,45.6,0.0
1730374583.527,100.0,45.6,0.0
1730374613.530,100.0,45.6,0.0
1730374643.548,100.0,45.6,0.0
1730374673.551,100.0,45.6,0.0
1730374703.554,100.0,45.6,0.0
1730374733.561,100.0,45.6,0.0
1730374763.560,100.0,45.6,0.0
1730374793.564,100.0,45.6,0.0
1730374823.572,100.0,45.6,0.0
1730374853.574,100.0,45.6,0.0
1730374883.576,100.0,45.6,0.0
1730374913.575,100.0,45.6,0.0
1730374943.590,100.0,45.6,0.0
1730374973.589,100.0,45.6,0.0
1730375003.599,100.0,45.6,0.0
1730375033.601,100.0,45.6,0.0
1730375063.607,100.0,45.6,0.0
1730375093.621,100.0,45.6,0.0
1730375123.622,100.0,45.6,0.0
1730375153.625,100.0,45.6,0.0
1730375183.624,100.0,45.6,0.0
1730375213.643,100.0,45.6,0.0
1730375243.646,100.0,45.6,0.0
1730375273.651,100.0,45.6,0.0
1730375303.657,100.0,45.6,0.0
1730375333.659,100.0,45.6,0.0
1730375363.662,100.0,45.6,0.0
1730375393.664,100.0,45.6,0.0
1730375423.675,100.0,45.6,0.0
1730375453.678,100.0,45.6,0.0
1730375483.677,100.0,45.6,0.0
1730375513.683,100.0,45.6,0.0
1730375543.693,100.0,45.6,0.0
1730375573.692,100.0,45.6,0.0
1730375603.703,100.0,45.6,0.0
1730375633.709,100.0,45.6,0.0
1730375663.720,100.0,45.6,0.0
1730375693.723,100.0,45.6,0.0
1730375723.722,100.0,45.6,0.0
1730375753.729,100.0,45.6,0.0
1730375783.731,100.0,45.6,0.0
1730375813.737,100.0,45.6,0.0
1730375843.747,100.0,45.6,0.0
1730375873.750,100.0,45.6,0.0
1730375903.756,100.0,45.6,0.0
1730375933.755,100.0,45.6,0.0
1730375963.776,100.0,45.6,0.0
1730375993.775,100.0,45.6,0.0
1730376023.777,100.0,45.6,0.0
1730376053.780,100.0,45.6,0.0
1730376083.783,100.0,45.6,0.0
1730376113.788,100.0,45.6,0.0
1730376143.796,100.0,45.6,0.0
1730376173.802,100.0,45.6,0.0
1730376203.804,100.0,45.6,0.0
1730376233.810,100.0,45.6,0.0
1730376263.823,100.0,45.6,0.0
1730376293.829,100.0,45.6,0.0
1730376323.837,100.0,45.6,0.0
1730376353.838,100.0,45.6,0.0
1730376383.837,100.0,45.6,0.0
1730376413.843,100.0,45.6,0.0
1730376443.845,100.0,45.6,0.0
1730376473.857,100.0,45.6,0.0
1730376503.866,100.0,45.6,0.0
1730376533.871,100.0,45.6,0.0
1730376563.876,100.0,45.6,0.0
1730376593.883,100.0,45.6,0.0
1730376623.885,100.0,45.6,0.0
1730376653.887,100.0,45.6,0.0
1730376683.899,100.0,45.6,0.0
1730376713.901,100.0,45.6,0.0
1730376743.904,100.0,45.6,0.0
1730376773.913,100.0,45.6,0.0
1730376803.917,100.0,45.6,0.0
1730376833.932,100.0,45.6,0.0
1730376863.933,100.0,45.6,0.0
1730376893.936,100.0,45.6,0.0
1730376923.939,100.0,45.6,0.0
1730376953.941,100.0,45.6,0.0
1730376983.940,100.0,45.6,0.0
1730377013.954,100.0,45.6,0.0
1730377043.958,100.0,45.5,0.0
1730377073.961,100.0,45.5,0.0
1730377103.972,100.0,45.5,0.0
1730377133.971,100.0,45.5,0.0
1730377163.978,100.0,45.5,0.0
1730377193.983,100.0,45.5,0.0
1730377223.999,100.0,45.5,0.0
1730377254.001,100.0,45.5,0.0
1730377284.003,100.0,45.5,0.0
1730377314.014,100.0,45.5,0.0
1730377344.013,100.0,45.5,0.0
1730377374.020,100.0,45.5,0.0
1730377404.019,100.0,45.5,0.0
1730377434.022,100.0,45.5,0.0
1730377464.028,100.0,45.5,0.0
1730377494.034,100.0,45.5,0.0
1730377524.037,100.0,45.5,0.0
1730377554.052,100.0,45.5,0.0
