Timestamp (s),CPU (%),RAM (%),Swap (%)
1730148304.598,100.0,26.9,0.0
1730148319.598,69.2,26.9,0.0
1730148334.597,62.6,26.9,0.0
1730148349.596,62.6,26.9,0.0
1730148364.595,62.6,26.9,0.0
1730148379.594,68.8,26.9,0.0
1730148394.593,62.6,26.9,0.0
1730148409.592,62.6,26.9,0.0
1730148424.591,62.6,26.9,0.0
1730148439.590,62.6,26.9,0.0
1730148454.589,62.6,26.9,0.0
1730148469.592,64.0,26.9,0.0
1730148484.591,67.5,26.9,0.0
1730148499.590,62.6,26.9,0.0
1730148514.589,62.6,26.9,0.0
1730148529.588,62.6,26.9,0.0
1730148544.587,62.6,26.9,0.0
1730148559.587,62.6,26.9,0.0
1730148574.586,62.6,26.9,0.0
1730148589.586,65.8,26.9,0.0
1730148604.585,65.9,26.9,0.0
1730148619.584,62.6,26.9,0.0
1730148634.583,62.6,26.9,0.0
1730148649.582,62.6,26.9,0.0
1730148664.581,62.6,26.9,0.0
1730148679.580,62.6,26.9,0.0
1730148694.580,62.6,26.9,0.0
1730148709.579,68.9,26.9,0.0
1730148724.578,62.6,26.9,0.0
1730148739.577,62.6,26.9,0.0
1730148754.576,62.6,26.9,0.0
1730148769.575,62.6,26.9,0.0
1730148784.574,62.6,26.9,0.0
