Timestamp (s),CPU (%),RAM (%),Swap (%)
1730150894.137,100.0,40.4,0.0
1730150909.138,94.8,40.4,0.0
1730150924.137,93.8,40.3,0.0
1730150939.136,93.8,40.3,0.0
1730150954.139,93.8,40.3,0.0
1730150969.138,93.8,40.3,0.0
1730150984.137,94.8,40.3,0.0
1730150999.136,93.8,40.3,0.0
1730151014.135,93.8,40.3,0.0
1730151029.134,93.8,40.3,0.0
1730151044.133,93.8,40.3,0.0
1730151059.133,93.8,40.3,0.0
1730151074.132,93.8,40.3,0.0
1730151089.132,93.8,40.3,0.0
1730151104.131,94.8,40.3,0.0
1730151119.130,93.8,40.3,0.0
1730151134.131,93.8,40.3,0.0
1730151149.130,93.8,40.3,0.0
1730151164.129,93.8,40.3,0.0
1730151179.128,93.8,40.3,0.0
1730151194.133,94.3,40.3,0.0
1730151209.132,94.4,40.3,0.0
1730151224.131,93.8,40.3,0.0
1730151239.130,93.8,40.3,0.0
1730151254.129,93.8,40.3,0.0
1730151269.128,93.8,40.3,0.0
1730151284.127,93.8,40.3,0.0
1730151299.127,93.8,40.3,0.0
1730151314.127,94.8,40.3,0.0
1730151329.126,93.8,40.3,0.0
1730151344.125,93.8,40.3,0.0
1730151359.124,93.8,40.3,0.0
1730151374.127,93.8,40.3,0.0
1730151389.126,93.8,40.3,0.0
