Timestamp (s),CPU (%),RAM (%),Swap (%)
1730146312.200,100.0,16.3,0.0
1730146327.199,47.6,16.3,0.0
1730146342.198,37.5,16.3,0.0
1730146357.197,37.6,16.3,0.0
1730146372.196,37.6,16.3,0.0
1730146387.195,37.5,16.3,0.0
1730146402.196,47.2,16.3,0.0
1730146417.195,38.3,16.3,0.0
1730146432.194,37.6,16.3,0.0
1730146447.193,37.6,16.3,0.0
1730146462.192,37.6,16.3,0.0
1730146477.191,37.6,16.3,0.0
1730146492.190,37.5,16.3,0.0
1730146507.190,37.6,16.3,0.0
1730146522.189,37.6,16.3,0.0
1730146537.188,48.9,16.3,0.0
1730146552.187,37.6,16.3,0.0
1730146567.186,37.6,16.3,0.0
1730146582.185,37.6,16.3,0.0
1730146597.184,37.6,16.3,0.0
1730146612.183,37.6,16.3,0.0
1730146627.182,37.6,16.3,0.0
1730146642.181,37.6,16.3,0.0
1730146657.181,47.1,16.3,0.0
1730146672.180,37.5,16.3,0.0
1730146687.179,37.6,16.3,0.0
1730146702.178,37.6,16.3,0.0
1730146717.177,37.6,16.3,0.0
1730146732.176,37.6,16.3,0.0
1730146747.175,37.6,16.3,0.0
1730146762.174,40.5,16.3,0.0
1730146777.173,45.4,16.3,0.0
1730146792.172,37.6,16.3,0.0
1730146807.171,37.6,16.3,0.0
1730146822.171,37.6,16.3,0.0
1730146837.170,37.6,16.3,0.0
1730146852.169,37.6,16.3,0.0
1730146867.168,37.6,16.3,0.0
