Timestamp (s),CPU (%),RAM (%),Swap (%)
1730142707.340,100.0,15.8,0.0
1730142722.340,26.9,15.8,0.0
1730142737.339,12.6,15.7,0.0
1730142752.338,12.6,15.8,0.0
1730142767.337,12.5,15.8,0.0
1730142782.336,12.6,15.8,0.0
1730142797.335,12.6,15.8,0.0
1730142812.334,12.6,15.8,0.0
1730142827.333,12.6,15.8,0.0
1730142842.332,12.6,15.8,0.0
1730142857.331,12.6,15.8,0.0
1730142872.331,12.5,15.8,0.0
1730142887.330,12.6,15.8,0.0
1730142902.329,12.6,15.8,0.0
1730142917.328,26.3,15.8,0.0
1730142932.327,12.5,15.8,0.0
1730142947.326,12.6,15.8,0.0
1730142962.325,12.6,15.8,0.0
1730142977.324,12.5,15.8,0.0
1730142992.323,12.6,15.8,0.0
1730143007.322,12.6,15.8,0.0
1730143022.322,12.6,15.8,0.0
1730143037.321,12.5,15.8,0.0
1730143052.320,12.6,15.8,0.0
1730143067.319,12.6,15.8,0.0
1730143082.318,12.5,15.8,0.0
1730143097.317,12.6,15.8,0.0
1730143112.316,12.6,15.8,0.0
1730143127.315,12.6,15.9,0.0
1730143142.314,12.5,15.9,0.0
1730143157.313,12.6,15.9,0.0
1730143172.313,12.6,15.9,0.0
1730143187.312,12.5,15.9,0.0
1730143202.311,26.5,15.9,0.0
1730143217.310,12.6,15.9,0.0
1730143232.309,12.6,15.9,0.0
1730143247.308,12.5,15.9,0.0
1730143262.307,12.6,15.9,0.0
1730143277.306,12.6,15.9,0.0
1730143292.305,12.6,15.9,0.0
1730143307.305,12.6,15.9,0.0
1730143322.304,12.6,15.9,0.0
1730143337.303,12.6,15.9,0.0
1730143352.302,12.5,15.9,0.0
1730143367.301,12.6,15.9,0.0
1730143382.300,12.6,15.9,0.0
1730143397.299,12.5,15.9,0.0
1730143412.298,12.6,15.9,0.0
1730143427.297,12.5,15.9,0.0
1730143442.296,12.6,15.9,0.0
1730143457.296,12.5,15.9,0.0
1730143472.295,27.9,15.9,0.0
1730143487.294,12.6,15.9,0.0
1730143502.293,12.5,15.9,0.0
1730143517.292,12.6,15.9,0.0
1730143532.291,12.6,15.9,0.0
1730143547.290,12.5,15.9,0.0
1730143562.289,12.6,15.9,0.0
1730143577.288,12.6,15.9,0.0
1730143592.288,12.6,15.9,0.0
1730143607.287,12.5,15.9,0.0
1730143622.286,12.6,15.9,0.0
1730143637.285,12.6,15.9,0.0
1730143652.284,12.5,15.9,0.0
1730143667.283,12.6,15.9,0.0
1730143682.282,12.6,15.9,0.0
1730143697.281,12.5,15.9,0.0
1730143712.280,12.5,15.9,0.0
1730143727.279,26.4,15.9,0.0
1730143742.279,12.6,15.9,0.0
1730143757.278,12.5,15.9,0.0
1730143772.277,12.6,15.9,0.0
1730143787.276,12.6,15.9,0.0
1730143802.275,12.5,15.9,0.0
1730143817.274,12.6,15.9,0.0
1730143832.273,12.6,15.9,0.0
1730143847.272,12.5,15.9,0.0
1730143862.271,12.6,15.9,0.0
1730143877.270,12.6,15.9,0.0
1730143892.270,12.6,15.9,0.0
1730143907.269,12.6,15.9,0.0
1730143922.268,12.5,15.9,0.0
1730143937.267,12.6,15.9,0.0
1730143952.266,12.5,15.9,0.0
1730143967.265,12.6,15.9,0.0
