Timestamp (s),CPU (%),RAM (%),Swap (%)
1730208950.415,100.0,45.8,0.0
1730208965.446,100.0,45.8,0.0
1730208980.447,100.0,45.8,0.0
1730208995.454,100.0,45.8,0.0
1730209010.457,100.0,45.8,0.0
1730209025.460,100.0,45.8,0.0
1730209040.459,100.0,45.8,0.0
1730209055.461,100.0,45.8,0.0
1730209070.475,100.0,45.8,0.0
1730209085.477,100.0,45.8,0.0
1730209100.479,100.0,45.8,0.0
1730209115.478,100.0,45.8,0.0
1730209130.481,100.0,45.8,0.0
1730209145.482,100.0,45.8,0.0
1730209160.489,100.0,45.8,0.0
1730209175.492,100.0,45.8,0.0
1730209190.496,100.0,45.8,0.0
1730209205.498,100.0,45.8,0.0
1730209220.500,100.0,45.8,0.0
1730209235.499,100.0,45.8,0.0
1730209250.514,100.0,45.8,0.0
1730209265.515,100.0,45.8,0.0
1730209280.514,100.0,45.8,0.0
1730209295.516,100.0,45.8,0.0
1730209310.515,100.0,45.8,0.0
1730209325.520,100.0,45.8,0.0
1730209340.526,100.0,45.8,0.0
1730209355.528,100.0,45.8,0.0
1730209370.533,100.0,45.8,0.0
1730209385.532,100.0,45.8,0.0
1730209400.542,100.0,45.8,0.0
1730209415.544,100.0,45.8,0.0
1730209430.550,100.0,45.8,0.0
1730209445.549,100.0,45.8,0.0
1730209460.550,100.0,45.8,0.0
1730209475.549,100.0,45.8,0.0
1730209490.561,100.0,45.8,0.0
1730209505.563,100.0,45.8,0.0
1730209520.562,100.0,45.8,0.0
1730209535.570,100.0,45.8,0.0
1730209550.572,100.0,45.8,0.0
1730209565.571,100.0,45.8,0.0
1730209580.575,100.0,45.8,0.0
1730209595.577,100.0,45.8,0.0
1730209610.584,100.0,45.8,0.0
1730209625.583,100.0,45.8,0.0
1730209640.588,100.0,45.8,0.0
1730209655.599,100.0,45.8,0.0
1730209670.601,100.0,45.8,0.0
1730209685.604,100.0,45.8,0.0
1730209700.603,100.0,45.8,0.0
1730209715.602,100.0,45.8,0.0
1730209730.604,100.0,45.8,0.0
1730209745.610,100.0,45.8,0.0
1730209760.617,100.0,45.8,0.0
1730209775.618,100.0,45.8,0.0
1730209790.625,100.0,45.8,0.0
1730209805.628,100.0,45.8,0.0
1730209820.629,100.0,45.8,0.0
1730209835.632,100.0,45.8,0.0
1730209850.634,100.0,45.8,0.0
1730209865.636,100.0,45.8,0.0
1730209880.638,100.0,45.8,0.0
1730209895.640,100.0,45.8,0.0
1730209910.647,100.0,45.8,0.0
1730209925.648,100.0,45.8,0.0
1730209940.655,100.0,45.8,0.0
1730209955.657,100.0,45.8,0.0
1730209970.661,100.0,45.8,0.0
1730209985.663,100.0,45.8,0.0
1730210000.666,100.0,45.8,0.0
1730210015.673,100.0,45.8,0.0
1730210030.676,100.0,45.8,0.0
1730210045.678,100.0,45.8,0.0
1730210060.677,100.0,45.8,0.0
1730210075.683,100.0,45.8,0.0
1730210090.685,100.0,45.8,0.0
1730210105.688,100.0,45.7,0.0
1730210120.699,100.0,45.7,0.0
1730210135.698,100.0,45.7,0.0
1730210150.697,100.0,45.7,0.0
1730210165.700,100.0,45.7,0.0
1730210180.707,100.0,45.7,0.0
1730210195.706,100.0,45.7,0.0
1730210210.711,100.0,45.7,0.0
1730210225.713,100.0,45.7,0.0
1730210240.722,100.0,45.7,0.0
1730210255.724,100.0,45.7,0.0
1730210270.723,100.0,45.7,0.0
1730210285.726,100.0,45.7,0.0
1730210300.728,100.0,45.7,0.0
1730210315.735,100.0,45.7,0.0
1730210330.738,100.0,45.7,0.0
1730210345.743,100.0,45.7,0.0
1730210360.750,100.0,45.7,0.0
1730210375.753,100.0,45.7,0.0
1730210390.752,100.0,45.7,0.0
1730210405.754,100.0,45.8,0.0
1730210420.757,100.0,45.8,0.0
1730210435.759,100.0,45.8,0.0
1730210450.762,100.0,45.8,0.0
1730210465.769,100.0,45.8,0.0
1730210480.772,100.0,45.8,0.0
1730210495.776,100.0,45.8,0.0
1730210510.778,100.0,45.8,0.0
1730210525.787,100.0,45.8,0.0
1730210540.786,100.0,45.8,0.0
1730210555.789,100.0,45.8,0.0
1730210570.790,100.0,45.8,0.0
1730210585.794,100.0,45.8,0.0
1730210600.798,100.0,45.8,0.0
1730210615.799,100.0,45.8,0.0
1730210630.802,100.0,45.8,0.0
1730210645.804,100.0,45.8,0.0
1730210660.816,100.0,45.8,0.0
1730210675.815,100.0,45.8,0.0
1730210690.816,100.0,45.8,0.0
1730210705.822,100.0,45.8,0.0
1730210720.825,100.0,45.8,0.0
1730210735.827,100.0,45.8,0.0
1730210750.834,100.0,45.8,0.0
1730210765.837,100.0,45.8,0.0
1730210780.836,100.0,45.8,0.0
1730210795.841,100.0,45.8,0.0
1730210810.843,100.0,45.8,0.0
1730210825.846,100.0,45.8,0.0
1730210840.846,100.0,45.8,0.0
1730210855.849,100.0,45.8,0.0
1730210870.858,100.0,45.8,0.0
1730210885.864,100.0,45.8,0.0
1730210900.867,100.0,45.8,0.0
1730210915.866,100.0,45.8,0.0
1730210930.865,100.0,45.8,0.0
1730210945.872,100.0,45.8,0.0
1730210960.883,100.0,45.8,0.0
1730210975.885,100.0,45.8,0.0
1730210990.887,100.0,45.8,0.0
1730211005.890,100.0,45.8,0.0
1730211020.889,100.0,45.8,0.0
1730211035.892,100.0,45.8,0.0
1730211050.891,100.0,45.8,0.0
1730211065.899,100.0,45.8,0.0
1730211080.898,100.0,45.8,0.0
1730211095.907,100.0,45.8,0.0
1730211110.910,100.0,45.8,0.0
1730211125.915,100.0,45.8,0.0
1730211140.915,100.0,45.8,0.0
1730211155.920,100.0,45.8,0.0
1730211170.922,100.0,45.8,0.0
1730211185.925,100.0,45.8,0.0
1730211200.929,100.0,45.8,0.0
1730211215.931,100.0,45.8,0.0
1730211230.933,100.0,45.8,0.0
1730211245.943,100.0,45.8,0.0
1730211260.946,100.0,45.8,0.0
1730211275.948,100.0,45.8,0.0
1730211290.947,100.0,45.8,0.0
1730211305.946,100.0,45.8,0.0
1730211320.953,100.0,45.8,0.0
1730211335.956,100.0,45.8,0.0
1730211350.966,100.0,45.8,0.0
1730211365.968,100.0,45.8,0.0
1730211380.967,100.0,45.8,0.0
1730211395.970,100.0,45.8,0.0
1730211410.976,100.0,45.8,0.0
1730211425.979,100.0,45.8,0.0
1730211440.978,100.0,45.8,0.0
1730211455.983,100.0,45.8,0.0
1730211470.988,100.0,45.8,0.0
1730211485.993,100.0,45.8,0.0
1730211500.995,100.0,45.8,0.0
1730211515.994,100.0,45.8,0.0
1730211530.993,100.0,45.8,0.0
1730211546.000,100.0,45.8,0.0
1730211561.010,100.0,45.8,0.0
1730211576.012,100.0,45.8,0.0
1730211591.014,100.0,45.8,0.0
1730211606.018,100.0,45.8,0.0
1730211621.022,100.0,45.8,0.0
1730211636.027,100.0,45.8,0.0
1730211651.026,100.0,45.8,0.0
1730211666.033,100.0,45.8,0.0
1730211681.039,100.0,45.8,0.0
1730211696.042,100.0,45.8,0.0
1730211711.041,100.0,45.8,0.0
1730211726.053,100.0,45.8,0.0
1730211741.052,100.0,45.8,0.0
1730211756.051,100.0,45.8,0.0
1730211771.054,100.0,45.8,0.0
1730211786.061,100.0,45.8,0.0
1730211801.063,100.0,45.8,0.0
1730211816.067,100.0,45.8,0.0
1730211831.068,100.0,45.8,0.0
1730211846.071,100.0,45.8,0.0
1730211861.073,100.0,45.8,0.0
1730211876.076,100.0,45.8,0.0
1730211891.078,100.0,45.8,0.0
1730211906.081,100.0,45.8,0.0
1730211921.086,100.0,45.8,0.0
1730211936.090,100.0,45.8,0.0
1730211951.091,100.0,45.8,0.0
1730211966.094,100.0,45.8,0.0
1730211981.096,100.0,45.8,0.0
1730211996.100,100.0,45.8,0.0
1730212011.101,100.0,45.8,0.0
1730212026.104,100.0,45.8,0.0
1730212041.111,100.0,45.8,0.0
1730212056.118,100.0,45.8,0.0
1730212071.117,100.0,45.8,0.0
1730212086.124,100.0,45.8,0.0
1730212101.127,100.0,45.8,0.0
1730212116.136,100.0,45.8,0.0
1730212131.139,100.0,45.8,0.0
1730212146.141,100.0,45.8,0.0
1730212161.144,100.0,45.8,0.0
1730212176.143,100.0,45.8,0.0
1730212191.145,100.0,45.8,0.0
1730212206.153,100.0,45.8,0.0
1730212221.155,100.0,45.8,0.0
1730212236.160,100.0,45.8,0.0
1730212251.161,100.0,45.8,0.0
1730212266.160,100.0,45.8,0.0
1730212281.168,100.0,45.8,0.0
1730212296.173,100.0,45.8,0.0
1730212311.172,100.0,45.8,0.0
1730212326.175,100.0,45.8,0.0
1730212341.177,100.0,45.8,0.0
1730212356.181,100.0,45.8,0.0
1730212371.190,100.0,45.8,0.0
1730212386.191,100.0,45.8,0.0
1730212401.196,100.0,45.8,0.0
1730212416.198,100.0,45.8,0.0
1730212431.200,100.0,45.8,0.0
1730212446.203,100.0,45.8,0.0
1730212461.202,100.0,45.8,0.0
1730212476.208,100.0,45.8,0.0
1730212491.210,100.0,45.8,0.0
1730212506.215,100.0,45.8,0.0
1730212521.220,100.0,45.8,0.0
1730212536.223,100.0,45.8,0.0
1730212551.222,100.0,45.8,0.0
1730212566.231,100.0,45.8,0.0
1730212581.236,100.0,45.8,0.0
1730212596.235,100.0,45.8,0.0
1730212611.241,100.0,45.8,0.0
1730212626.240,100.0,45.8,0.0
1730212641.246,100.0,45.8,0.0
1730212656.245,100.0,45.8,0.0
1730212671.248,100.0,45.8,0.0
1730212686.251,100.0,45.8,0.0
1730212701.265,100.0,45.8,0.0
1730212716.268,100.0,45.8,0.0
1730212731.267,100.0,45.8,0.0
1730212746.272,100.0,45.8,0.0
1730212761.274,100.0,45.8,0.0
1730212776.277,100.0,45.8,0.0
1730212791.277,100.0,45.8,0.0
1730212806.276,100.0,45.8,0.0
1730212821.283,100.0,45.8,0.0
1730212836.292,100.0,45.8,0.0
1730212851.293,100.0,45.8,0.0
1730212866.295,100.0,45.8,0.0
1730212881.297,100.0,45.8,0.0
1730212896.296,100.0,45.8,0.0
1730212911.311,100.0,45.8,0.0
1730212926.310,100.0,45.8,0.0
1730212941.311,100.0,45.8,0.0
1730212956.318,100.0,45.8,0.0
1730212971.324,100.0,45.8,0.0
1730212986.323,100.0,45.8,0.0
1730213001.325,100.0,45.8,0.0
1730213016.329,100.0,45.8,0.0
1730213031.330,100.0,45.8,0.0
1730213046.329,100.0,45.8,0.0
1730213061.341,100.0,45.8,0.0
1730213076.340,100.0,45.8,0.0
1730213091.347,100.0,45.8,0.0
1730213106.349,100.0,45.8,0.0
1730213121.351,100.0,45.8,0.0
1730213136.356,100.0,45.8,0.0
1730213151.358,100.0,45.8,0.0
1730213166.364,100.0,45.8,0.0
1730213181.367,100.0,45.8,0.0
1730213196.374,100.0,45.8,0.0
1730213211.373,100.0,45.8,0.0
1730213226.372,100.0,45.8,0.0
1730213241.378,100.0,45.8,0.0
