Timestamp (s),CPU (%),RAM (%),Swap (%)
1730144940.965,100.0,21.2,0.0
1730144955.965,38.4,21.2,0.0
1730144970.964,25.1,21.2,0.0
1730144985.963,25.1,21.2,0.0
1730145000.962,25.1,21.2,0.0
1730145015.961,25.0,21.2,0.0
1730145030.960,25.1,21.2,0.0
1730145045.959,25.1,21.2,0.0
1730145060.958,36.9,21.2,0.0
1730145075.957,25.1,21.2,0.0
1730145090.956,25.1,21.2,0.0
1730145105.956,25.1,21.2,0.0
1730145120.955,25.0,21.2,0.0
1730145135.954,25.1,21.2,0.0
1730145150.953,25.1,21.2,0.0
1730145165.952,25.0,21.3,0.0
1730145180.951,25.1,21.3,0.0
1730145195.950,25.1,21.3,0.0
1730145210.949,37.7,21.3,0.0
1730145225.948,25.0,21.3,0.0
1730145240.947,25.1,21.3,0.0
1730145255.947,25.1,21.3,0.0
1730145270.946,25.1,21.3,0.0
1730145285.945,25.1,21.3,0.0
1730145300.944,25.0,21.3,0.0
1730145315.943,25.1,21.3,0.0
1730145330.942,25.1,21.3,0.0
1730145345.941,25.0,21.3,0.0
1730145360.940,37.0,21.3,0.0
1730145375.939,25.1,21.3,0.0
1730145390.938,25.0,21.3,0.0
1730145405.937,25.1,21.3,0.0
1730145420.936,25.1,21.3,0.0
1730145435.936,25.1,21.3,0.0
1730145450.935,25.1,21.3,0.0
1730145465.934,25.1,21.3,0.0
1730145480.933,25.0,21.3,0.0
1730145495.932,38.6,21.3,0.0
1730145510.931,25.1,21.3,0.0
1730145525.930,25.0,21.3,0.0
1730145540.929,25.1,21.3,0.0
1730145555.928,25.1,21.3,0.0
1730145570.928,25.0,21.3,0.0
1730145585.927,25.1,21.3,0.0
1730145600.926,25.1,21.3,0.0
1730145615.925,25.0,21.3,0.0
