Timestamp (s),CPU (%),RAM (%),Swap (%)
1730149850.156,100.0,35.0,0.0
1730149865.155,84.4,35.0,0.0
1730149880.154,81.3,35.0,0.0
1730149895.154,81.3,35.0,0.0
1730149910.153,81.3,35.0,0.0
1730149925.153,81.3,35.0,0.0
1730149940.155,84.6,35.0,0.0
1730149955.154,81.3,35.0,0.0
1730149970.153,81.3,35.0,0.0
1730149985.152,81.3,35.0,0.0
1730150000.151,81.3,35.0,0.0
1730150015.150,81.3,35.0,0.0
1730150030.150,81.3,35.0,0.0
1730150045.151,81.3,35.0,0.0
1730150060.150,84.5,35.0,0.0
1730150075.149,81.3,35.0,0.0
1730150090.148,81.3,35.0,0.0
1730150105.147,81.3,35.0,0.0
1730150120.146,81.3,35.0,0.0
1730150135.149,81.3,35.0,0.0
1730150150.148,81.3,35.0,0.0
1730150165.147,84.6,35.0,0.0
1730150180.146,81.3,35.0,0.0
1730150195.145,81.3,35.0,0.0
1730150210.144,81.3,35.0,0.0
1730150225.143,81.3,34.9,0.0
1730150240.142,81.3,34.9,0.0
1730150255.143,81.3,34.9,0.0
1730150270.142,84.6,34.9,0.0
1730150285.141,81.3,34.9,0.0
1730150300.143,81.3,34.9,0.0
1730150315.142,81.3,34.9,0.0
1730150330.141,81.3,34.9,0.0
1730150345.140,81.3,34.9,0.0
1730150360.139,81.3,34.9,0.0
