Timestamp (s),CPU (%),RAM (%),Swap (%)
1730140284.981,100.0,13.0,0.0
1730140299.980,22.3,13.0,0.0
1730140314.979,6.3,13.0,0.0
1730140329.978,6.3,13.0,0.0
1730140344.977,6.3,13.0,0.0
1730140359.976,6.3,13.0,0.0
1730140374.975,6.3,13.0,0.0
1730140389.974,6.3,13.0,0.0
1730140404.973,6.3,13.0,0.0
1730140419.973,6.3,13.0,0.0
1730140434.972,6.3,13.0,0.0
1730140449.971,6.3,13.1,0.0
1730140464.970,6.3,13.1,0.0
1730140479.969,6.3,13.1,0.0
1730140494.968,6.3,13.1,0.0
1730140509.967,6.3,13.1,0.0
1730140524.966,6.3,13.1,0.0
1730140539.965,6.3,13.1,0.0
1730140554.965,6.3,13.1,0.0
1730140569.964,6.3,13.1,0.0
1730140584.963,6.3,13.1,0.0
1730140599.962,6.3,13.1,0.0
1730140614.961,6.3,13.1,0.0
1730140629.961,6.3,13.1,0.0
1730140644.960,6.3,13.1,0.0
1730140659.959,6.3,13.1,0.0
1730140674.958,21.6,13.1,0.0
1730140689.957,6.3,13.1,0.0
1730140704.957,6.3,13.1,0.0
1730140719.956,6.3,13.1,0.0
1730140734.955,6.3,13.1,0.0
1730140749.954,6.3,13.1,0.0
1730140764.953,6.3,13.1,0.0
1730140779.952,6.3,13.1,0.0
1730140794.951,6.3,13.1,0.0
1730140809.950,6.3,13.1,0.0
1730140824.949,6.3,13.1,0.0
1730140839.949,6.3,13.1,0.0
1730140854.948,6.3,13.1,0.0
1730140869.947,6.3,13.1,0.0
1730140884.946,6.3,13.1,0.0
1730140899.945,6.3,13.1,0.0
1730140914.944,6.3,13.1,0.0
1730140929.943,6.3,13.1,0.0
1730140944.942,6.3,13.1,0.0
1730140959.942,6.3,13.1,0.0
1730140974.941,6.3,13.1,0.0
1730140989.940,6.3,13.1,0.0
1730141004.939,6.3,13.1,0.0
1730141019.938,6.3,13.1,0.0
1730141034.937,6.3,13.1,0.0
1730141049.936,6.3,13.1,0.0
1730141064.935,6.3,13.1,0.0
1730141079.935,6.3,13.1,0.0
1730141094.934,6.3,13.1,0.0
1730141109.933,6.3,13.1,0.0
1730141124.932,6.3,13.1,0.0
1730141139.931,6.3,13.1,0.0
1730141154.930,6.3,13.1,0.0
1730141169.929,6.3,13.1,0.0
1730141184.928,6.3,13.1,0.0
1730141199.928,6.3,13.1,0.0
1730141214.927,6.3,13.1,0.0
1730141229.926,22.6,13.1,0.0
1730141244.925,6.3,13.1,0.0
1730141259.924,6.3,13.1,0.0
1730141274.923,6.3,13.1,0.0
1730141289.922,6.3,13.1,0.0
1730141304.921,6.3,13.1,0.0
1730141319.920,6.3,13.1,0.0
1730141334.920,6.3,13.1,0.0
1730141349.919,6.3,13.1,0.0
1730141364.918,6.3,13.1,0.0
1730141379.917,6.3,13.1,0.0
1730141394.916,6.3,13.1,0.0
1730141409.915,6.3,13.1,0.0
1730141424.914,6.3,13.1,0.0
1730141439.913,6.3,13.1,0.0
1730141454.912,6.3,13.1,0.0
1730141469.912,6.3,13.1,0.0
1730141484.911,6.3,13.1,0.0
1730141499.910,6.3,13.1,0.0
1730141514.909,6.3,13.1,0.0
1730141529.908,6.3,13.1,0.0
1730141544.907,6.3,13.1,0.0
1730141559.906,6.3,13.1,0.0
1730141574.906,6.3,13.1,0.0
1730141589.905,6.3,13.1,0.0
1730141604.904,6.3,13.1,0.0
1730141619.903,6.3,13.1,0.0
1730141634.902,6.3,13.1,0.0
1730141649.901,6.3,13.1,0.0
1730141664.900,6.3,13.1,0.0
1730141679.899,6.3,13.1,0.0
1730141694.898,6.3,13.1,0.0
1730141709.897,6.3,13.1,0.0
1730141724.896,6.3,13.1,0.0
1730141739.896,22.2,13.1,0.0
1730141754.895,6.3,13.1,0.0
1730141769.894,6.3,13.1,0.0
1730141784.893,6.3,13.1,0.0
1730141799.892,6.3,13.1,0.0
1730141814.891,6.3,13.1,0.0
1730141829.890,6.3,13.1,0.0
1730141844.889,6.3,13.1,0.0
1730141859.888,6.3,13.1,0.0
1730141874.887,6.3,13.1,0.0
1730141889.886,6.3,13.1,0.0
1730141904.886,6.3,13.1,0.0
1730141919.885,6.3,13.1,0.0
1730141934.884,6.3,13.1,0.0
1730141949.883,6.3,13.1,0.0
1730141964.882,6.3,13.1,0.0
1730141979.881,6.3,13.1,0.0
1730141994.880,6.3,13.1,0.0
1730142009.879,6.3,13.1,0.0
1730142024.878,6.3,13.1,0.0
1730142039.877,6.4,13.1,0.0
1730142054.876,6.3,13.1,0.0
1730142069.875,6.3,13.1,0.0
1730142084.875,6.3,13.1,0.0
1730142099.874,6.3,13.1,0.0
1730142114.873,6.3,13.1,0.0
1730142129.872,6.3,13.1,0.0
1730142144.871,6.3,13.1,0.0
1730142159.870,6.3,13.1,0.0
1730142174.869,6.3,13.1,0.0
1730142189.868,6.3,13.1,0.0
1730142204.867,6.3,13.1,0.0
1730142219.866,6.3,13.1,0.0
1730142234.865,6.3,13.1,0.0
1730142249.865,21.5,13.1,0.0
1730142264.864,6.3,13.1,0.0
1730142279.863,6.3,13.1,0.0
