Timestamp (s),CPU (%),RAM (%),Swap (%)
1730148799.764,100.0,29.6,0.0
1730148814.766,74.0,29.6,0.0
1730148829.765,68.8,29.6,0.0
1730148844.768,68.8,29.6,0.0
1730148859.767,68.8,29.6,0.0
1730148874.766,68.8,29.6,0.0
1730148889.765,74.4,29.6,0.0
1730148904.764,68.8,29.6,0.0
1730148919.763,68.9,29.6,0.0
1730148934.762,68.8,29.6,0.0
1730148949.762,68.8,29.6,0.0
1730148964.763,68.8,29.6,0.0
1730148979.762,68.9,29.6,0.0
1730148994.761,68.8,29.6,0.0
1730149009.760,74.1,29.6,0.0
1730149024.759,68.8,29.6,0.0
1730149039.758,68.8,29.6,0.0
1730149054.759,68.8,29.6,0.0
1730149069.758,68.8,29.6,0.0
1730149084.757,68.8,29.6,0.0
1730149099.760,68.8,29.6,0.0
1730149114.759,74.1,29.6,0.0
1730149129.758,68.8,29.6,0.0
1730149144.757,68.8,29.6,0.0
1730149159.756,68.8,29.6,0.0
1730149174.755,68.8,29.6,0.0
1730149189.754,68.8,29.6,0.0
1730149204.753,68.8,29.6,0.0
1730149219.753,74.1,29.6,0.0
1730149234.754,68.8,29.6,0.0
1730149249.753,68.8,29.6,0.0
1730149264.752,68.8,29.6,0.0
1730149279.751,68.8,29.6,0.0
1730149294.750,68.8,29.6,0.0
1730149309.751,68.8,29.6,0.0
