Timestamp (s),CPU (%),RAM (%),Swap (%)
1730147841.990,100.0,24.2,0.0
1730147856.990,63.4,24.2,0.0
1730147871.989,56.3,24.2,0.0
1730147886.988,56.3,24.2,0.0
1730147901.987,56.4,24.2,0.0
1730147916.986,56.3,24.2,0.0
1730147931.985,63.7,24.2,0.0
1730147946.984,56.3,24.2,0.0
1730147961.983,56.3,24.2,0.0
1730147976.982,56.3,24.2,0.0
1730147991.981,56.4,24.2,0.0
1730148006.980,56.4,24.2,0.0
1730148021.980,56.4,24.2,0.0
1730148036.979,56.3,24.2,0.0
1730148051.978,63.3,24.2,0.0
1730148066.977,56.3,24.2,0.0
1730148081.976,56.3,24.2,0.0
1730148096.975,56.4,24.2,0.0
1730148111.974,56.3,24.2,0.0
1730148126.973,56.3,24.2,0.0
1730148141.972,63.8,24.2,0.0
1730148156.971,56.3,24.2,0.0
1730148171.970,56.3,24.2,0.0
1730148186.969,56.3,24.2,0.0
1730148201.969,56.3,24.2,0.0
1730148216.968,56.3,24.2,0.0
1730148231.967,63.6,24.2,0.0
1730148246.966,56.3,24.2,0.0
1730148261.965,56.3,24.2,0.0
1730148276.964,56.3,24.2,0.0
1730148291.963,56.3,24.2,0.0
